,species,survey.year,cell,weibull.onset,weibull10,gam.em.10,gam.peak1,gam.peakday,lon,lat
1,Asterocampa celtis,2014,"-87.5,41.5",140,148,132,177,241,-87.5,41.5
2,Asterocampa celtis,2016,"-93.5,41.5",118,148,155,167,167,-93.5,41.5
3,Asterocampa celtis,2016,"-90.5,38.5",NA,NA,164,205,241,-90.5,38.5
4,Asterocampa celtis,2017,"-92.5,38.5",125,148,NA,NA,NA,-92.5,38.5
5,Asterocampa celtis,2017,"-92.5,38.5",125,148,NA,NA,NA,-92.5,38.5
6,Asterocampa celtis,2018,"-92.5,38.5",143,147,NA,NA,NA,-92.5,38.5
7,Asterocampa celtis,2018,"-90.5,38.5",129,185,NA,NA,NA,-90.5,38.5
8,Asterocampa celtis,2018,"-84.5,39.5",141,169,NA,NA,NA,-84.5,39.5
9,Asterocampa celtis,2018,"-82.5,39.5",145,170,NA,NA,NA,-82.5,39.5
10,Asterocampa celtis,2018,"-92.5,38.5",129,185,NA,NA,NA,-92.5,38.5
11,Asterocampa celtis,2018,"-90.5,38.5",145,170,NA,NA,NA,-90.5,38.5
12,Colias eurytheme,2015,"-93.5,41.5",125,164,138,NA,233,-93.5,41.5
13,Colias eurytheme,2016,"-93.5,41.5",118,148,164,277,277,-93.5,41.5
14,Colias eurytheme,2016,"-92.5,38.5",132,174,NA,NA,NA,-92.5,38.5
15,Colias eurytheme,2016,"-92.5,38.5",132,174,NA,NA,NA,-92.5,38.5
16,Colias eurytheme,2017,"-91.5,41.5",NA,NA,193,254,254,-91.5,41.5
17,Colias eurytheme,2017,"-93.5,41.5",149,202,128,160,239,-93.5,41.5
18,Colias eurytheme,2018,"-93.5,41.5",139,166,164,208,208,-93.5,41.5
19,Colias eurytheme,2018,"-92.5,38.5",179,238,NA,NA,NA,-92.5,38.5
20,Colias eurytheme,2018,"-90.5,38.5",141,160,NA,NA,NA,-90.5,38.5
21,Colias eurytheme,2018,"-84.5,39.5",94,160,NA,NA,NA,-84.5,39.5
22,Colias eurytheme,2018,"-92.5,38.5",179,238,NA,NA,NA,-92.5,38.5
23,Colias eurytheme,2018,"-90.5,38.5",141,160,NA,NA,NA,-90.5,38.5
24,Epargyreus clarus,2014,"-87.5,41.5",140,148,134,222,222,-87.5,41.5
25,Epargyreus clarus,2014,"-88.5,41.5",NA,NA,142,224,224,-88.5,41.5
26,Epargyreus clarus,2015,"-87.5,41.5",131,152,121,171,229,-87.5,41.5
27,Epargyreus clarus,2015,"-88.5,41.5",NA,NA,151,158,223,-88.5,41.5
28,Epargyreus clarus,2016,"-87.5,41.5",123,201,119,163,163,-87.5,41.5
29,Epargyreus clarus,2016,"-88.5,41.5",128,182,146,239,239,-88.5,41.5
30,Epargyreus clarus,2016,"-93.5,41.5",118,148,141,260,260,-93.5,41.5
31,Epargyreus clarus,2016,"-91.5,41.5",NA,NA,250,270,270,-91.5,41.5
32,Epargyreus clarus,2016,"-90.5,38.5",NA,NA,166,249,249,-90.5,38.5
33,Epargyreus clarus,2016,"-85.5,41.5",NA,NA,101,123,123,-85.5,41.5
34,Epargyreus clarus,2016,"-92.5,38.5",144,193,NA,NA,NA,-92.5,38.5
35,Epargyreus clarus,2016,"-92.5,38.5",144,193,NA,NA,NA,-92.5,38.5
36,Epargyreus clarus,2017,"-87.5,41.5",160,205,126,167,167,-87.5,41.5
37,Epargyreus clarus,2017,"-91.5,41.5",NA,NA,137,160,160,-91.5,41.5
38,Epargyreus clarus,2017,"-93.5,41.5",149,202,143,160,236,-93.5,41.5
39,Epargyreus clarus,2017,"-88.5,41.5",43,133,134,165,233,-88.5,41.5
40,Epargyreus clarus,2017,"-84.5,41.5",NA,NA,119,155,155,-84.5,41.5
41,Epargyreus clarus,2017,"-90.5,38.5",68,160,139,228,228,-90.5,38.5
42,Epargyreus clarus,2017,"-92.5,38.5",145,168,NA,NA,NA,-92.5,38.5
43,Epargyreus clarus,2017,"-90.5,38.5",98,150,NA,NA,NA,-90.5,38.5
44,Epargyreus clarus,2017,"-84.5,39.5",145,157,NA,NA,NA,-84.5,39.5
45,Epargyreus clarus,2017,"-82.5,39.5",99,169,NA,NA,NA,-82.5,39.5
46,Epargyreus clarus,2017,"-92.5,38.5",145,168,NA,NA,NA,-92.5,38.5
47,Epargyreus clarus,2017,"-90.5,38.5",145,157,NA,NA,NA,-90.5,38.5
48,Epargyreus clarus,2017,"-84.5,39.5",99,169,NA,NA,NA,-84.5,39.5
49,Epargyreus clarus,2018,"-91.5,41.5",NA,NA,125,244,244,-91.5,41.5
50,Epargyreus clarus,2018,"-87.5,41.5",149,193,131,165,233,-87.5,41.5
51,Epargyreus clarus,2018,"-88.5,41.5",87,132,139,220,220,-88.5,41.5
52,Epargyreus clarus,2018,"-92.5,38.5",112,141,NA,NA,NA,-92.5,38.5
53,Epargyreus clarus,2018,"-90.5,38.5",157,185,NA,NA,NA,-90.5,38.5
54,Epargyreus clarus,2018,"-84.5,39.5",190,228,NA,NA,NA,-84.5,39.5
55,Epargyreus clarus,2018,"-82.5,39.5",129,145,NA,NA,NA,-82.5,39.5
56,Epargyreus clarus,2018,"-93.5,41.5",147,161,NA,NA,NA,-93.5,41.5
57,Epargyreus clarus,2018,"-93.5,41.5",145,179,NA,NA,NA,-93.5,41.5
58,Epargyreus clarus,2018,"-93.5,41.5",150,157,NA,NA,NA,-93.5,41.5
59,Epargyreus clarus,2018,"-93.5,41.5",71,170,NA,NA,NA,-93.5,41.5
60,Epargyreus clarus,2018,"-92.5,38.5",179,183,NA,NA,NA,-92.5,38.5
61,Epargyreus clarus,2018,"-90.5,38.5",140,156,NA,NA,NA,-90.5,38.5
62,Epargyreus clarus,2018,"-90.5,38.5",122,171,NA,NA,NA,-90.5,38.5
63,Epargyreus clarus,2018,"-87.5,41.5",145,171,NA,NA,NA,-87.5,41.5
64,Epargyreus clarus,2018,"-87.5,41.5",90,144,NA,NA,NA,-87.5,41.5
65,Epargyreus clarus,2018,"-92.5,38.5",157,185,NA,NA,NA,-92.5,38.5
66,Epargyreus clarus,2018,"-90.5,38.5",190,228,NA,NA,NA,-90.5,38.5
67,Epargyreus clarus,2018,"-84.5,39.5",129,145,NA,NA,NA,-84.5,39.5
68,Epargyreus clarus,2018,"-82.5,39.5",147,161,NA,NA,NA,-82.5,39.5
69,Epargyreus clarus,2018,"-93.5,41.5",145,179,NA,NA,NA,-93.5,41.5
70,Epargyreus clarus,2018,"-93.5,41.5",71,170,NA,NA,NA,-93.5,41.5
71,Epargyreus clarus,2018,"-93.5,41.5",179,183,NA,NA,NA,-93.5,41.5
72,Epargyreus clarus,2018,"-93.5,41.5",140,156,NA,NA,NA,-93.5,41.5
73,Epargyreus clarus,2018,"-92.5,38.5",145,171,NA,NA,NA,-92.5,38.5
74,Epargyreus clarus,2018,"-90.5,38.5",90,144,NA,NA,NA,-90.5,38.5
