"","x"
"1",179.582977711947
"2",188.224458265966
"3",186.46322214706
"4",184.233005539685
"5",182.412056702015
"6",183.381329089491
"7",181.008560350538
"8",181.836997770165
"9",184.649028569738
"10",181.892027897128
"11",180.143381754022
"12",182.019828400696
"13",181.578903088108
"14",181.884931290182
"15",181.811853964827
"16",180.695003461209
"17",180.362168879424
"18",185.578969645025
"19",183.416047345394
"20",183.556497516293
"21",183.379934017106
"22",183.245365324909
"23",183.658180511733
"24",184.996004236547
"25",183.986833149489
"26",181.173122170766
"27",182.632773072458
"28",183.84144024818
"29",182.3670407823
"30",183.224864896448
"31",181.685140558063
"32",183.429733825515
"33",183.426939809815
"34",183.378509518732
"35",182.07093024398
"36",183.315695807001
"37",183.677124262283
"38",181.772715270373
"39",182.441573546443
"40",182.2342017171
"41",183.177581791624
"42",182.625190799237
"43",183.44128592881
"44",184.071531729344
"45",182.906531881747
"46",182.778918627127
"47",182.828975312714
"48",182.717050069053
"49",184.029280637603
"50",183.015961876162
"51",183.284943183802
"52",183.918944221568
"53",183.877497986205
"54",183.675383659783
"55",184.167290749249
"56",182.565723840376
"57",183.305588611664
"58",183.631417417309
"59",182.72575560177
"60",180.825440214319
"61",182.456760956762
"62",183.854453370311
"63",183.501743426882
"64",182.599834877391
"65",182.124956569261
"66",182.200444679648
"67",183.200448800203
"68",183.928432710692
"69",182.813973544414
"70",183.416638509956
"71",182.716915326036
"72",182.983181689255
"73",182.79413798597
"74",182.786513488513
"75",182.358269079109
"76",182.271041944996
"77",183.694036809314
"78",183.218299143065
"79",183.17201611802
"80",182.906840345647
"81",182.591311144604
"82",183.799249615535
"83",182.817617926114
"84",182.765935549245
"85",182.304473112998
"86",182.701398387375
"87",181.984054980257
"88",183.217675467312
"89",182.652955710779
"90",182.515412224641
"91",183.008181298823
"92",183.797969087915
"93",182.836680119611
"94",183.022061372879
"95",182.075220623874
"96",182.73659856306
"97",182.444696927139
"98",182.766349119283
"99",181.279473519975
"100",182.279503399972
"101",182.874057221439
"102",182.61662956621
"103",183.246714919578
"104",182.769169804988
"105",181.64257414802
"106",184.563727752013
"107",182.808829145084
"108",182.388670735868
"109",183.621218116513
"110",182.336235302488
"111",183.311390604257
"112",184.020895468784
"113",182.465921752736
"114",183.983970749222
"115",182.934678617939
"116",182.727012334109
"117",183.210248629449
"118",182.930618843129
"119",182.774901331597
"120",183.032763282884
"121",182.999217555753
"122",183.497868458623
"123",182.578331833581
"124",183.383779491148
"125",183.149399664718
"126",183.338134403875
"127",182.620739760344
"128",183.65455157993
