estimate,lowci,highci,true_ninty,pass,distance,obs,sd,estimator,ci
217.2545112,212.8307094,227.3198049,212.76,FALSE,4.4945112,10,10,belitz,14.48909552
208.5577871,205.4869266,218.7399313,212.76,TRUE,4.2022129,10,10,belitz,13.25300467
210.0347304,201.5373877,213.075307,212.76,TRUE,2.7252696,10,10,belitz,11.53791922
203.2323954,202.193418,215.793336,212.76,TRUE,9.5276046,10,10,belitz,13.59991805
218.7645758,201.8153809,220.2086775,212.76,TRUE,6.0045758,10,10,belitz,18.39329663
219.0865948,197.5421388,222.8627117,212.76,TRUE,6.3265948,10,10,belitz,25.32057296
208.3199206,202.5068036,216.0995861,212.76,TRUE,4.4400794,10,10,belitz,13.59278251
213.8437219,205.3327429,216.6454386,212.76,TRUE,1.0837219,10,10,belitz,11.31269567
211.7908958,207.3709263,223.9641325,212.76,TRUE,0.9691042,10,10,belitz,16.59320622
215.9677683,203.3272134,225.9289668,212.76,TRUE,3.2077683,10,10,belitz,22.60175334
213.0767082,201.7381889,220.2641935,212.76,TRUE,0.3167082,10,10,belitz,18.5260046
217.5926468,205.9631273,224.9446389,212.76,TRUE,4.8326468,10,10,belitz,18.98151159
206.0955143,204.090758,212.3839386,212.76,FALSE,6.6644857,10,10,belitz,8.293180527
209.9814774,208.4700357,219.1579273,212.76,TRUE,2.7785226,10,10,belitz,10.68789162
206.8124148,195.1094501,211.324877,212.76,FALSE,5.9475852,10,10,belitz,16.21542687
212.3724919,201.7759579,213.0968052,212.76,TRUE,0.3875081,10,10,belitz,11.32084732
212.4078116,203.9219355,219.3574974,212.76,TRUE,0.3521884,10,10,belitz,15.43556192
209.7119972,204.5784,211.4668838,212.76,FALSE,3.0480028,10,10,belitz,6.888483848
219.4142392,191.9721322,223.115042,212.76,TRUE,6.6542392,10,10,belitz,31.14290982
200.1253376,196.8748094,201.9615095,212.76,FALSE,12.6346624,10,10,belitz,5.086700097
208.0685526,196.0754048,214.1186987,212.76,TRUE,4.6914474,10,10,belitz,18.04329389
210.4051802,199.1569665,214.639779,212.76,TRUE,2.3548198,10,10,belitz,15.48281252
212.1638847,200.8631618,215.5137212,212.76,TRUE,0.5961153,10,10,belitz,14.65055946
209.5795448,199.4970008,215.4369526,212.76,TRUE,3.1804552,10,10,belitz,15.93995186
216.8302067,204.7565751,227.2753779,212.76,TRUE,4.0702067,10,10,belitz,22.51880285
208.4567086,207.6887221,212.1415827,212.76,FALSE,4.3032914,10,10,belitz,4.452860671
217.6107418,217.108729,217.9111299,212.76,FALSE,4.8507418,10,10,belitz,0.802400834
209.1013503,202.1316446,215.9017671,212.76,TRUE,3.6586497,10,10,belitz,13.77012246
214.7819958,204.4183364,221.7176381,212.76,TRUE,2.0219958,10,10,belitz,17.29930177
209.4035835,202.0847062,211.9451338,212.76,FALSE,3.3564165,10,10,belitz,9.8604276
224.5009842,216.062652,237.0829811,225.6,TRUE,1.0990158,10,20,belitz,21.02032903
221.381645,204.2384524,234.08443,225.6,TRUE,4.218355,10,20,belitz,29.84597766
230.1833691,208.1704532,236.2352602,225.6,TRUE,4.5833691,10,20,belitz,28.064807
223.432066,206.7271753,227.7186903,225.6,TRUE,2.167934,10,20,belitz,20.99151494
210.5336997,200.491415,212.9302103,225.6,FALSE,15.0663003,10,20,belitz,12.43879532
233.9484717,207.4076505,243.3212411,225.6,TRUE,8.3484717,10,20,belitz,35.91359056
234.0941633,225.046198,241.6845482,225.6,TRUE,8.4941633,10,20,belitz,16.63835018
218.8838701,206.5409366,220.8222965,225.6,FALSE,6.7161299,10,20,belitz,14.28135988
226.7856358,197.2887819,232.0801782,225.6,TRUE,1.1856358,10,20,belitz,34.79139631
231.8384502,213.0828551,241.6901104,225.6,TRUE,6.2384502,10,20,belitz,28.60725528
222.2926637,215.0472581,231.6849731,225.6,TRUE,3.3073363,10,20,belitz,16.63771495
236.5717259,221.150724,248.3077644,225.6,TRUE,10.9717259,10,20,belitz,27.15704039
224.0708173,213.5790641,232.1473685,225.6,TRUE,1.5291827,10,20,belitz,18.56830439
218.3130633,209.3576884,227.9321189,225.6,TRUE,7.2869367,10,20,belitz,18.57443055
225.9280154,200.7749864,234.1416426,225.6,TRUE,0.3280154,10,20,belitz,33.36665622
217.0733954,204.6696312,228.1779761,225.6,TRUE,8.5266046,10,20,belitz,23.50834488
223.8657369,199.0226019,234.504145,225.6,TRUE,1.7342631,10,20,belitz,35.48154317
219.6980558,209.0342117,228.4547452,225.6,TRUE,5.9019442,10,20,belitz,19.42053356
238.728879,218.522543,247.9331907,225.6,TRUE,13.128879,10,20,belitz,29.41064765
202.2986326,197.5461916,209.0768348,225.6,FALSE,23.3013674,10,20,belitz,11.53064324
225.6760563,211.1694863,230.5779452,225.6,TRUE,0.0760563,10,20,belitz,19.40845885
244.9385491,221.6847186,251.112717,225.6,TRUE,19.3385491,10,20,belitz,29.42799839
230.2494001,208.4354484,238.3963457,225.6,TRUE,4.6494001,10,20,belitz,29.96089729
224.9946014,189.2056979,235.0597985,225.6,TRUE,0.6053986,10,20,belitz,45.85410055
225.0055866,196.9388004,231.4697905,225.6,TRUE,0.5944134,10,20,belitz,34.53099003
229.750778,217.6796046,242.0231423,225.6,TRUE,4.150778,10,20,belitz,24.34353765
234.6971387,201.4977398,241.4917931,225.6,TRUE,9.0971387,10,20,belitz,39.99405332
239.0853321,230.0527281,248.0725873,225.6,FALSE,13.4853321,10,20,belitz,18.01985922
218.6464088,205.498486,229.3688647,225.6,TRUE,6.9535912,10,20,belitz,23.87037872
234.99831,225.4748067,249.0170333,225.6,TRUE,9.39831,10,20,belitz,23.54222655
240.7273321,223.4174616,252.6650998,251.79,TRUE,11.0626679,10,40,belitz,29.24763822
235.0268405,221.5267719,252.581817,251.79,TRUE,16.7631595,10,40,belitz,31.05504507
240.5571661,220.2844154,258.5297979,251.79,TRUE,11.2328339,10,40,belitz,38.24538255
258.0450355,246.068223,269.2676114,251.79,TRUE,6.2550355,10,40,belitz,23.19938846
238.7328538,201.713909,249.6815599,251.79,FALSE,13.0571462,10,40,belitz,47.96765092
274.5663361,225.370864,283.3692552,251.79,TRUE,22.7763361,10,40,belitz,57.9983912
302.5461783,240.9896432,327.1654173,251.79,TRUE,50.7561783,10,40,belitz,86.1757741
260.8912589,190.9064512,275.6676583,251.79,TRUE,9.1012589,10,40,belitz,84.76120708
288.710279,217.1177182,326.9446992,251.79,TRUE,36.920279,10,40,belitz,109.8269811
250.8017326,206.5229485,268.905881,251.79,TRUE,0.9882674,10,40,belitz,62.3829325
250.0607398,239.3658351,263.315787,251.79,TRUE,1.7292602,10,40,belitz,23.94995197
295.6186559,233.5565504,316.3832699,251.79,TRUE,43.8286559,10,40,belitz,82.82671944
255.3342671,227.7392297,281.6656334,251.79,TRUE,3.5442671,10,40,belitz,53.92640369
247.9878714,180.2766421,267.3014167,251.79,TRUE,3.8021286,10,40,belitz,87.02477462
242.8589305,227.4840077,257.6784652,251.79,TRUE,8.9310695,10,40,belitz,30.19445751
