estimate,lowci,highci,true_offset,pass,distance,obs,sd,estimator,ci
227.8064366,223.3220705,232.587791,238.1,FALSE,-10.29356343,10,10,belitz,9.265720558
222.4125674,219.2607146,227.2112776,238.1,FALSE,-15.6874326,10,10,belitz,7.950562996
231.5259354,227.1370425,232.6371514,238.1,FALSE,-6.574064601,10,10,belitz,5.500108829
216.9460499,207.9077713,221.0659123,238.1,FALSE,-21.1539501,10,10,belitz,13.158141
240.0725124,239.6841445,241.3464879,238.1,FALSE,1.972512447,10,10,belitz,1.66234342
242.3737702,225.6767668,243.7026183,238.1,TRUE,4.273770181,10,10,belitz,18.02585155
224.6341281,219.900197,229.3263399,238.1,FALSE,-13.46587187,10,10,belitz,9.426142884
235.6651712,230.9468647,239.7729701,238.1,TRUE,-2.434828808,10,10,belitz,8.826105416
225.6019697,217.9156378,229.9476268,238.1,FALSE,-12.49803033,10,10,belitz,12.031989
231.6415901,226.7189003,238.8294944,238.1,TRUE,-6.458409935,10,10,belitz,12.11059408
234.8601409,230.6595251,235.992336,238.1,FALSE,-3.239859076,10,10,belitz,5.332810868
237.0102713,217.4303238,240.6643651,238.1,TRUE,-1.08972869,10,10,belitz,23.23404125
221.8873367,217.345907,226.2159618,238.1,FALSE,-16.21266328,10,10,belitz,8.870054793
223.7266461,219.2427242,229.1117179,238.1,FALSE,-14.37335395,10,10,belitz,9.868993729
227.4329334,223.1692791,229.773833,238.1,FALSE,-10.66706663,10,10,belitz,6.604553849
231.3442315,217.297649,232.2561447,238.1,FALSE,-6.755768475,10,10,belitz,14.95849568
230.807746,227.0351351,233.6378665,238.1,FALSE,-7.292254001,10,10,belitz,6.602731452
227.562973,223.7491203,230.3934918,238.1,FALSE,-10.53702704,10,10,belitz,6.64437148
242.757098,223.5345035,245.5302904,238.1,TRUE,4.657097961,10,10,belitz,21.99578697
215.9478549,213.4022687,219.7658264,238.1,FALSE,-22.1521451,10,10,belitz,6.363557625
228.8420629,223.4844069,232.2954991,238.1,FALSE,-9.25793712,10,10,belitz,8.811092171
230.2414433,229.3683545,231.2436469,238.1,FALSE,-7.858556659,10,10,belitz,1.87529238
234.4508156,231.6323778,235.8329017,238.1,FALSE,-3.649184421,10,10,belitz,4.200523895
225.5175521,220.0202372,230.799723,238.1,FALSE,-12.58244795,10,10,belitz,10.77948578
235.9760695,231.7836561,239.8740217,238.1,TRUE,-2.123930489,10,10,belitz,8.090365587
224.8735076,216.0845304,226.5353682,238.1,FALSE,-13.22649236,10,10,belitz,10.45083783
237.1784551,236.9602192,237.6524898,238.1,FALSE,-0.92154486,10,10,belitz,0.692270605
227.9018842,221.4833432,230.3466328,238.1,FALSE,-10.19811577,10,10,belitz,8.863289582
234.5290498,220.5925128,238.3675227,238.1,TRUE,-3.570950217,10,10,belitz,17.77500989
228.0801977,225.2186925,230.2781363,238.1,FALSE,-10.01980226,10,10,belitz,5.059443781
242.9013252,230.4929808,247.5067949,279.35,FALSE,-36.44867476,10,20,belitz,17.01381407
245.8486013,236.5242966,251.3396354,279.35,FALSE,-33.50139866,10,20,belitz,14.81533879
255.4825314,250.4914176,258.8648292,279.35,FALSE,-23.86746861,10,20,belitz,8.373411643
246.0480053,231.0618518,248.566171,279.35,FALSE,-33.30199474,10,20,belitz,17.5043192
227.4793114,218.2229929,233.3294947,279.35,FALSE,-51.87068858,10,20,belitz,15.10650181
260.9821637,259.8794074,262.9331243,279.35,FALSE,-18.36783633,10,20,belitz,3.05371687
248.133702,239.3159642,254.708601,279.35,FALSE,-31.21629795,10,20,belitz,15.3926368
240.0327254,219.4436219,243.0770299,279.35,FALSE,-39.3172746,10,20,belitz,23.63340795
251.0288617,221.0594953,256.0942072,279.35,FALSE,-28.32113826,10,20,belitz,35.03471189
252.753121,248.7403621,257.2514109,279.35,FALSE,-26.59687898,10,20,belitz,8.511048847
234.5799852,230.0621923,243.3188962,279.35,FALSE,-44.77001482,10,20,belitz,13.25670389
272.1678049,270.3351811,273.3463111,279.35,FALSE,-7.18219511,10,20,belitz,3.011129961
244.2445393,239.2399988,248.3720932,279.35,FALSE,-35.10546066,10,20,belitz,9.132094379
234.9993571,230.7361371,241.7908663,279.35,FALSE,-44.35064294,10,20,belitz,11.0547292
255.4639754,229.0296347,257.6712711,279.35,FALSE,-23.88602458,10,20,belitz,28.64163645
